"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"2915","578b15a1-ea86-4ba3-a85d-e832cee68438","Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu","2009-01-22","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","340546566","9562246099","","160","354","","http://www.wsp-inow.pl","dziekanat@wsp-inow.pl","52 52-00-144","/wspinowroclaw/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Najświętszej Marii Panny","19A","88-100","Inowrocław","Wiesław Juchacz - p.o. Rektora","",,,,,"Toruńska Wyższa Szkoła Przedsiębiorczości  z siedzibą w Toruniu","2009-01-22",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2009-01-22","Działająca","2009-01-22","zawodowa","2009-01-22","ul. Najświętszej Marii Panny 19A, 88-100 Inowrocław, woj. kujawsko-pomorskie, Polska","2021-07-01"
"2916","578b15a1-ea86-4ba3-a85d-e832cee68438","Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu","2009-01-22","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","340546566","9562246099","","160","354","","http://www.wsp-inow.pl","dziekanat@wsp-inow.pl","52 52-00-144","/wspinowroclaw/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Najświętszej Marii Panny","19A","88-100","Inowrocław","Wiesław Juchacz - p.o. Rektora","",,,,,"Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu","2017-03-21",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2009-01-22","Działająca","2009-01-22","zawodowa","2009-01-22","ul. Stanisława Kiełbasiewicza 7, 88-100 Inowrocław, woj. kujawsko-pomorskie, Polska","2009-01-22"
"2917","578b15a1-ea86-4ba3-a85d-e832cee68438","Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu","2009-01-22","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","340546566","9562246099","","160","354","","http://www.wsp-inow.pl","dziekanat@wsp-inow.pl","52 52-00-144","/wspinowroclaw/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Najświętszej Marii Panny","19A","88-100","Inowrocław","Wiesław Juchacz - p.o. Rektora","",,,,,"Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu","2017-03-21",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2009-01-22","Działająca","2009-01-22","zawodowa","2009-01-22","ul. Najświętszej Marii Panny 19A, 88-100 Inowrocław, woj. kujawsko-pomorskie, Polska","2021-07-01"
"2918","578b15a1-ea86-4ba3-a85d-e832cee68438","Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu","2009-01-22","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","340546566","9562246099","","160","354","","http://www.wsp-inow.pl","dziekanat@wsp-inow.pl","52 52-00-144","/wspinowroclaw/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Najświętszej Marii Panny","19A","88-100","Inowrocław","Wiesław Juchacz - p.o. Rektora","",,,,,"Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego","2016-10-25",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2009-01-22","Działająca","2009-01-22","zawodowa","2009-01-22","ul. Stanisława Kiełbasiewicza 7, 88-100 Inowrocław, woj. kujawsko-pomorskie, Polska","2009-01-22"
"2919","578b15a1-ea86-4ba3-a85d-e832cee68438","Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu","2009-01-22","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","340546566","9562246099","","160","354","","http://www.wsp-inow.pl","dziekanat@wsp-inow.pl","52 52-00-144","/wspinowroclaw/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Najświętszej Marii Panny","19A","88-100","Inowrocław","Wiesław Juchacz - p.o. Rektora","",,,,,"Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego","2016-10-25",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2009-01-22","Działająca","2009-01-22","zawodowa","2009-01-22","ul. Najświętszej Marii Panny 19A, 88-100 Inowrocław, woj. kujawsko-pomorskie, Polska","2021-07-01"
"2920","71c08842-2544-4bc3-9d0e-d84b75b969fc","Wyższa Szkoła Przedsiębiorczości i Rozwoju Regionalnego w likwidacji z siedzibą w Falentach","2002-07-05","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2012-12-15","zawodowa","","015194107","5342197729","","000","238","","http://www.wspirr.edu.pl","wspirr@wspirr.edu.pl","22 720 05 35","","Polska","mazowieckie","Aleja Hrabska","3","05-090","Falenty","","",,,,,"Wyższa Szkoła Przedsiębiorczości i Rozwoju Regionalnego w Falentach","2002-07-05",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2002-07-05","Działająca","2002-07-05","zawodowa","2002-07-05","Aleja Hrabska 3, 05-090 Falenty, woj. mazowieckie, Polska","2002-07-05"
"2921","71c08842-2544-4bc3-9d0e-d84b75b969fc","Wyższa Szkoła Przedsiębiorczości i Rozwoju Regionalnego w likwidacji z siedzibą w Falentach","2002-07-05","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2012-12-15","zawodowa","","015194107","5342197729","","000","238","","http://www.wspirr.edu.pl","wspirr@wspirr.edu.pl","22 720 05 35","","Polska","mazowieckie","Aleja Hrabska","3","05-090","Falenty","","",,,,,"Wyższa Szkoła Przedsiębiorczości i Rozwoju Regionalnego w Falentach","2002-07-05",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2002-07-05","Zlikwidowana","2012-12-15","zawodowa","2002-07-05","Aleja Hrabska 3, 05-090 Falenty, woj. mazowieckie, Polska","2002-07-05"
"2922","71c08842-2544-4bc3-9d0e-d84b75b969fc","Wyższa Szkoła Przedsiębiorczości i Rozwoju Regionalnego w likwidacji z siedzibą w Falentach","2002-07-05","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2012-12-15","zawodowa","","015194107","5342197729","","000","238","","http://www.wspirr.edu.pl","wspirr@wspirr.edu.pl","22 720 05 35","","Polska","mazowieckie","Aleja Hrabska","3","05-090","Falenty","","",,,,,"Wyższa Szkoła Przedsiębiorczości i Rozwoju Regionalnego w likwidacji z siedzibą w Falentach","2012-12-11",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2002-07-05","Działająca","2002-07-05","zawodowa","2002-07-05","Aleja Hrabska 3, 05-090 Falenty, woj. mazowieckie, Polska","2002-07-05"
"2923","71c08842-2544-4bc3-9d0e-d84b75b969fc","Wyższa Szkoła Przedsiębiorczości i Rozwoju Regionalnego w likwidacji z siedzibą w Falentach","2002-07-05","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2012-12-15","zawodowa","","015194107","5342197729","","000","238","","http://www.wspirr.edu.pl","wspirr@wspirr.edu.pl","22 720 05 35","","Polska","mazowieckie","Aleja Hrabska","3","05-090","Falenty","","",,,,,"Wyższa Szkoła Przedsiębiorczości i Rozwoju Regionalnego w likwidacji z siedzibą w Falentach","2012-12-11",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2002-07-05","Zlikwidowana","2012-12-15","zawodowa","2002-07-05","Aleja Hrabska 3, 05-090 Falenty, woj. mazowieckie, Polska","2002-07-05"
"2924","ce98a7f7-b014-4fc9-bd1e-7fb3cd80b32a","Wyższa Szkoła Rozwoju Lokalnego w Żyrardowie","1997-08-29","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2014-10-01","zawodowa","","750088149","8381558280","","000","133","","http://www.wsrl.pl","dziekanat@wsrl.pl","468556162","","Polska","mazowieckie","ul. Ludwika Waryńskiego","1","96-300","Żyrardów","","",,,,,"Wyższa Szkoła Rozwoju Lokalnego w Żyrardowie","1997-08-29",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1997-08-29","Działająca","1997-08-29","zawodowa","1997-08-29","ul. Ludwika Waryńskiego 1, 96-300 Żyrardów, woj. mazowieckie, Polska","1997-08-29"
"2925","ce98a7f7-b014-4fc9-bd1e-7fb3cd80b32a","Wyższa Szkoła Rozwoju Lokalnego w Żyrardowie","1997-08-29","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2014-10-01","zawodowa","","750088149","8381558280","","000","133","","http://www.wsrl.pl","dziekanat@wsrl.pl","468556162","","Polska","mazowieckie","ul. Ludwika Waryńskiego","1","96-300","Żyrardów","","",,,,,"Wyższa Szkoła Rozwoju Lokalnego w Żyrardowie","1997-08-29",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1997-08-29","Zlikwidowana","2014-10-01","zawodowa","1997-08-29","ul. Ludwika Waryńskiego 1, 96-300 Żyrardów, woj. mazowieckie, Polska","1997-08-29"
"2926","583d155e-2380-48bb-a340-fdd014634722","Wyższa Szkoła Sanocka z siedzibą w Sanoku","2012-07-18","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2013-07-09","zawodowa","","","","","000","374","","","","","","Polska","podkarpackie","ul. Głogowa","1","38-500","Sanok","","",,,,,"Wyższa Szkoła Sanocka z siedzibą w Sanoku","2012-07-18",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2012-07-18","Działająca","2012-07-18","zawodowa","2012-07-18","ul. Głogowa 1, 38-500 Sanok, woj. podkarpackie, Polska","2012-07-18"
"2927","583d155e-2380-48bb-a340-fdd014634722","Wyższa Szkoła Sanocka z siedzibą w Sanoku","2012-07-18","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2013-07-09","zawodowa","","","","","000","374","","","","","","Polska","podkarpackie","ul. Głogowa","1","38-500","Sanok","","",,,,,"Wyższa Szkoła Sanocka z siedzibą w Sanoku","2012-07-18",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2012-07-18","Zlikwidowana","2013-07-09","zawodowa","2012-07-18","ul. Głogowa 1, 38-500 Sanok, woj. podkarpackie, Polska","2012-07-18"
"2928","55e5e1f9-d47c-4780-bd41-f8f526091936","Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy w likwidacji","1998-04-16","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2018-07-31","","zawodowa","","091647386","5542194687","","000","139","","http://wss.edu.pl","rektor@wss.edu.pl","52 342 92 90","","Polska","kujawsko-pomorskie","ul. Fordońska","120","85-739","Bydgoszcz","","",,,,,"Wyższa Szkoła Środowiska z siedzibą w Bydgoszczy","1998-04-16",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1998-04-16","Działająca","1998-04-16","zawodowa","1998-04-16","ul. Fordońska 120, 85-739 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1998-04-16"
"2929","55e5e1f9-d47c-4780-bd41-f8f526091936","Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy w likwidacji","1998-04-16","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2018-07-31","","zawodowa","","091647386","5542194687","","000","139","","http://wss.edu.pl","rektor@wss.edu.pl","52 342 92 90","","Polska","kujawsko-pomorskie","ul. Fordońska","120","85-739","Bydgoszcz","","",,,,,"Wyższa Szkoła Środowiska z siedzibą w Bydgoszczy","1998-04-16",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1998-04-16","W likwidacji","2018-07-31","zawodowa","1998-04-16","ul. Fordońska 120, 85-739 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1998-04-16"
"2930","55e5e1f9-d47c-4780-bd41-f8f526091936","Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy w likwidacji","1998-04-16","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2018-07-31","","zawodowa","","091647386","5542194687","","000","139","","http://wss.edu.pl","rektor@wss.edu.pl","52 342 92 90","","Polska","kujawsko-pomorskie","ul. Fordońska","120","85-739","Bydgoszcz","","",,,,,"Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy w likwidacji","2018-07-31",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1998-04-16","Działająca","1998-04-16","zawodowa","1998-04-16","ul. Fordońska 120, 85-739 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1998-04-16"
"2931","55e5e1f9-d47c-4780-bd41-f8f526091936","Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy w likwidacji","1998-04-16","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2018-07-31","","zawodowa","","091647386","5542194687","","000","139","","http://wss.edu.pl","rektor@wss.edu.pl","52 342 92 90","","Polska","kujawsko-pomorskie","ul. Fordońska","120","85-739","Bydgoszcz","","",,,,,"Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy w likwidacji","2018-07-31",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1998-04-16","W likwidacji","2018-07-31","zawodowa","1998-04-16","ul. Fordońska 120, 85-739 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1998-04-16"
"2932","55e5e1f9-d47c-4780-bd41-f8f526091936","Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy w likwidacji","1998-04-16","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2018-07-31","","zawodowa","","091647386","5542194687","","000","139","","http://wss.edu.pl","rektor@wss.edu.pl","52 342 92 90","","Polska","kujawsko-pomorskie","ul. Fordońska","120","85-739","Bydgoszcz","","",,,,,"Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy","2013-07-04",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1998-04-16","Działająca","1998-04-16","zawodowa","1998-04-16","ul. Fordońska 120, 85-739 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1998-04-16"
"2933","55e5e1f9-d47c-4780-bd41-f8f526091936","Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy w likwidacji","1998-04-16","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2018-07-31","","zawodowa","","091647386","5542194687","","000","139","","http://wss.edu.pl","rektor@wss.edu.pl","52 342 92 90","","Polska","kujawsko-pomorskie","ul. Fordońska","120","85-739","Bydgoszcz","","",,,,,"Wyższa Szkoła Służb Lotniczych z siedzibą w Bydgoszczy","2013-07-04",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1998-04-16","W likwidacji","2018-07-31","zawodowa","1998-04-16","ul. Fordońska 120, 85-739 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1998-04-16"
"2934","90d026a1-3028-427f-a247-41368dbefaf8","Wyższa Szkoła Służby Społecznej im. Ks. Franciszka Blachnickiego w Suwałkach w likwidacji","1993-09-21","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2009-03-11","","zawodowa","","790142248","","","000","26","","","","","","Polska","podlaskie","ul. Tadeusza Kościuszki","47a","16-400","Suwałki","","",,,,,"Wyższa Szkoła Służby Społecznej im. Ks. Franciszka Blachnickiego w Suwałkach w likwidacji","1993-09-21",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1993-09-21","Działająca","1993-09-21","zawodowa","1993-09-21","ul. Tadeusza Kościuszki 47a, 16-400 Suwałki, woj. podlaskie, Polska","1993-09-21"
"2935","90d026a1-3028-427f-a247-41368dbefaf8","Wyższa Szkoła Służby Społecznej im. Ks. Franciszka Blachnickiego w Suwałkach w likwidacji","1993-09-21","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2009-03-11","","zawodowa","","790142248","","","000","26","","","","","","Polska","podlaskie","ul. Tadeusza Kościuszki","47a","16-400","Suwałki","","",,,,,"Wyższa Szkoła Służby Społecznej im. Ks. Franciszka Blachnickiego w Suwałkach w likwidacji","1993-09-21",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1993-09-21","W likwidacji","2009-03-11","zawodowa","1993-09-21","ul. Tadeusza Kościuszki 47a, 16-400 Suwałki, woj. podlaskie, Polska","1993-09-21"
"2936","f1316179-e357-4607-97da-024972e0194f","Wyższa Szkoła Społeczno-Ekonomiczna w Gdańsku z siedzibą w Gdańsku","2001-01-31","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","192471740","5832714422","","173","192","","http://www.wsse.edu.pl","dziekanat@wsse.edu.pl","585005222","/WSSE-w-Gdansku/StrytkaESP","Polska","pomorskie","ul. Rajska","6","80-850","Gdańsk","Roman Gawrych - Rektor","",,,,,"Wyższa Szkoła Społeczno-Ekonomiczna w Gdańsku","2001-01-31",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2001-01-31","Działająca","2001-01-31","zawodowa","2001-01-31","ul. Rajska 6, 80-850 Gdańsk, woj. pomorskie, Polska","2001-01-31"
"2937","f1316179-e357-4607-97da-024972e0194f","Wyższa Szkoła Społeczno-Ekonomiczna w Gdańsku z siedzibą w Gdańsku","2001-01-31","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","192471740","5832714422","","173","192","","http://www.wsse.edu.pl","dziekanat@wsse.edu.pl","585005222","/WSSE-w-Gdansku/StrytkaESP","Polska","pomorskie","ul. Rajska","6","80-850","Gdańsk","Roman Gawrych - Rektor","",,,,,"Wyższa Szkoła Społeczno-Ekonomiczna w Gdańsku z siedzibą w Gdańsku","2015-01-16",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2001-01-31","Działająca","2001-01-31","zawodowa","2001-01-31","ul. Rajska 6, 80-850 Gdańsk, woj. pomorskie, Polska","2001-01-31"
"2938","30b46c5a-0448-4b1c-8a0a-01a666c2632e","Wyższa Szkoła Społeczno-Ekonomiczna w likwidacji","1996-06-26","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2021-08-10","","zawodowa","","011910311","5211375857","","182","89","","http://www.wsse-uczelnia.com.pl","dziekanat@wsse-uczelnia.com.pl","22 490 88 00","","Polska","mazowieckie","ul. gen. Karola Ziemskiego ""Wachnowskiego""","22","04-408","Warszawa","","",,,,,"Wyższa Szkoła Społeczno-Ekonomiczna w Warszawie","1996-06-26",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1996-06-26","Działająca","1996-06-26","zawodowa","1996-06-26","ul. gen. Karola Ziemskiego ""Wachnowskiego"" 22, 04-408 Warszawa, woj. mazowieckie, Polska","1996-06-26"
"2939","30b46c5a-0448-4b1c-8a0a-01a666c2632e","Wyższa Szkoła Społeczno-Ekonomiczna w likwidacji","1996-06-26","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2021-08-10","","zawodowa","","011910311","5211375857","","182","89","","http://www.wsse-uczelnia.com.pl","dziekanat@wsse-uczelnia.com.pl","22 490 88 00","","Polska","mazowieckie","ul. gen. Karola Ziemskiego ""Wachnowskiego""","22","04-408","Warszawa","","",,,,,"Wyższa Szkoła Społeczno-Ekonomiczna w Warszawie","1996-06-26",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1996-06-26","W likwidacji","2021-08-10","zawodowa","1996-06-26","ul. gen. Karola Ziemskiego ""Wachnowskiego"" 22, 04-408 Warszawa, woj. mazowieckie, Polska","1996-06-26"
"2940","30b46c5a-0448-4b1c-8a0a-01a666c2632e","Wyższa Szkoła Społeczno-Ekonomiczna w likwidacji","1996-06-26","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2021-08-10","","zawodowa","","011910311","5211375857","","182","89","","http://www.wsse-uczelnia.com.pl","dziekanat@wsse-uczelnia.com.pl","22 490 88 00","","Polska","mazowieckie","ul. gen. Karola Ziemskiego ""Wachnowskiego""","22","04-408","Warszawa","","",,,,,"Wyższa Szkoła Społeczno-Ekonomiczna w likwidacji","2021-08-10",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1996-06-26","Działająca","1996-06-26","zawodowa","1996-06-26","ul. gen. Karola Ziemskiego ""Wachnowskiego"" 22, 04-408 Warszawa, woj. mazowieckie, Polska","1996-06-26"
"2941","30b46c5a-0448-4b1c-8a0a-01a666c2632e","Wyższa Szkoła Społeczno-Ekonomiczna w likwidacji","1996-06-26","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","2021-08-10","","zawodowa","","011910311","5211375857","","182","89","","http://www.wsse-uczelnia.com.pl","dziekanat@wsse-uczelnia.com.pl","22 490 88 00","","Polska","mazowieckie","ul. gen. Karola Ziemskiego ""Wachnowskiego""","22","04-408","Warszawa","","",,,,,"Wyższa Szkoła Społeczno-Ekonomiczna w likwidacji","2021-08-10",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1996-06-26","W likwidacji","2021-08-10","zawodowa","1996-06-26","ul. gen. Karola Ziemskiego ""Wachnowskiego"" 22, 04-408 Warszawa, woj. mazowieckie, Polska","1996-06-26"
"2942","b3bb5ead-3f26-4467-8a96-2bc0aec0bd3c","Wyższa Szkoła Społeczno-Gospodarcza","2011-03-03","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","180675735","7941810427","","162","367","","http://www.wssgprzeworsk.edu.pl","wssg@vp.pl","16 733 41 36","","Polska","podkarpackie","ul. Gimnazjalna","35","37-200","Przeworsk","Piotr Lesław Jarosz - Rektor","",,,,,"Wyższa Szkoła Społeczno-Gospodarcza z siedzibą w Przeworsku","2011-03-03",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2011-03-03","Działająca","2011-03-03","zawodowa","2011-03-03","ul. Marii Curie-Skłodowskiej 2, 37-200 Przeworsk, woj. podkarpackie, Polska","2011-03-03"
"2943","b3bb5ead-3f26-4467-8a96-2bc0aec0bd3c","Wyższa Szkoła Społeczno-Gospodarcza","2011-03-03","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","180675735","7941810427","","162","367","","http://www.wssgprzeworsk.edu.pl","wssg@vp.pl","16 733 41 36","","Polska","podkarpackie","ul. Gimnazjalna","35","37-200","Przeworsk","Piotr Lesław Jarosz - Rektor","",,,,,"Wyższa Szkoła Społeczno-Gospodarcza z siedzibą w Przeworsku","2011-03-03",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2011-03-03","Działająca","2011-03-03","zawodowa","2011-03-03","ul. Gimnazjalna 35, 37-200 Przeworsk, woj. podkarpackie, Polska","2022-05-10"
"2944","b3bb5ead-3f26-4467-8a96-2bc0aec0bd3c","Wyższa Szkoła Społeczno-Gospodarcza","2011-03-03","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","180675735","7941810427","","162","367","","http://www.wssgprzeworsk.edu.pl","wssg@vp.pl","16 733 41 36","","Polska","podkarpackie","ul. Gimnazjalna","35","37-200","Przeworsk","Piotr Lesław Jarosz - Rektor","",,,,,"Wyższa Szkoła Społeczno-Gospodarcza","2022-05-10",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2011-03-03","Działająca","2011-03-03","zawodowa","2011-03-03","ul. Marii Curie-Skłodowskiej 2, 37-200 Przeworsk, woj. podkarpackie, Polska","2011-03-03"
"2945","b3bb5ead-3f26-4467-8a96-2bc0aec0bd3c","Wyższa Szkoła Społeczno-Gospodarcza","2011-03-03","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","180675735","7941810427","","162","367","","http://www.wssgprzeworsk.edu.pl","wssg@vp.pl","16 733 41 36","","Polska","podkarpackie","ul. Gimnazjalna","35","37-200","Przeworsk","Piotr Lesław Jarosz - Rektor","",,,,,"Wyższa Szkoła Społeczno-Gospodarcza","2022-05-10",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2011-03-03","Działająca","2011-03-03","zawodowa","2011-03-03","ul. Gimnazjalna 35, 37-200 Przeworsk, woj. podkarpackie, Polska","2022-05-10"
"2946","65b3c436-70ac-4876-badf-b781afa325a6","Wyższa Szkoła Społeczno-Gospodarcza w Tyczynie","1996-07-26","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","2009-12-02","zawodowa","","690410539","8131369862","","000","97","","","","","","Polska","podkarpackie","ul. Kościuszki","4","36-020","Tyczyn","","",,,,,"Wyższa Szkoła Społeczno-Gospodarcza w Tyczynie","1996-07-26",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1996-07-26","Działająca","1996-07-26","zawodowa","1996-07-26","ul. Kościuszki 4, 36-020 Tyczyn, woj. podkarpackie, Polska","1996-07-26"
